__time,/joint_states/_MSG_INDEX_,/joint_states/header/seq,/joint_states/header/stamp,/joint_states/theta1/effort,/joint_states/theta1/position,/joint_states/theta1/velocity,/joint_states/theta2/effort,/joint_states/theta2/position,/joint_states/theta2/velocity
1639605179.429999,500040.000000,86474.000000,1639605179.429999,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
1639605179.430963,500041.000000,86475.000000,1639605179.430963,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
1639605179.431985,500042.000000,86476.000000,1639605179.431985,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
1639605179.433974,500043.000000,86477.000000,1639605179.433974,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
1639605179.434996,500044.000000,86478.000000,1639605179.434996,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
1639605179.436018,500045.000000,86479.000000,1639605179.436018,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
1639605179.436987,500046.000000,86480.000000,1639605179.436987,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
1639605179.438962,500047.000000,86481.000000,1639605179.438962,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
1639605179.439970,500048.000000,86482.000000,1639605179.439970,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
1639605179.440971,500049.000000,86483.000000,1639605179.440971,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1639605179.441972,500050.000000,86484.000000,1639605179.441972,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1639605179.443970,500051.000000,86485.000000,1639605179.443970,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1639605179.444973,500052.000000,86486.000000,1639605179.444973,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1639605179.445992,500053.000000,86487.000000,1639605179.445992,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1639605179.446984,500054.000000,86488.000000,1639605179.446984,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1639605179.448984,500055.000000,86489.000000,1639605179.448984,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1639605179.449980,500056.000000,86490.000000,1639605179.449980,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1639605179.451008,500057.000000,86491.000000,1639605179.451008,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1639605179.452019,500058.000000,86492.000000,1639605179.452019,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1639605179.453974,500059.000000,86493.000000,1639605179.453974,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1639605179.454980,500060.000000,86494.000000,1639605179.454980,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1639605179.456081,500061.000000,86495.000000,1639605179.456081,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1639605179.456974,500062.000000,86496.000000,1639605179.456974,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1639605179.458985,500063.000000,86497.000000,1639605179.458985,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1639605179.459987,500064.000000,86498.000000,1639605179.459987,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1639605179.460981,500065.000000,86499.000000,1639605179.460981,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1639605179.461992,500066.000000,86500.000000,1639605179.461992,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1639605179.464058,500067.000000,86501.000000,1639605179.464058,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1639605179.464977,500068.000000,86502.000000,1639605179.464977,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1639605179.465986,500069.000000,86503.000000,1639605179.465986,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1639605179.466983,500070.000000,86504.000000,1639605179.466983,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1639605179.468982,500071.000000,86505.000000,1639605179.468982,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1639605179.470015,500072.000000,86506.000000,1639605179.470015,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1639605179.470978,500073.000000,86507.000000,1639605179.470978,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1639605179.471994,500074.000000,86508.000000,1639605179.471994,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
