__time,/joint_states/_MSG_INDEX_,/joint_states/header/seq,/joint_states/header/stamp,/joint_states/theta1/effort,/joint_states/theta1/position,/joint_states/theta1/velocity,/joint_states/theta2/effort,/joint_states/theta2/position,/joint_states/theta2/velocity,/theta2_controller/command/_MSG_INDEX_,/theta2_controller/command/data
1639607031.891380,7361.000000,942240.000000,1639607031.891380,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1639607031.892411,7362.000000,942241.000000,1639607031.892411,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1639607031.893407,7363.000000,942242.000000,1639607031.893407,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1639607031.893860,,,,,,,,,,7153.000000,-3.771074
1639607031.894394,7364.000000,942243.000000,1639607031.894394,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1639607031.895393,7365.000000,942244.000000,1639607031.895393,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1639607031.896390,7366.000000,942245.000000,1639607031.896390,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1639607031.897369,7367.000000,942246.000000,1639607031.897369,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1639607031.898401,7368.000000,942247.000000,1639607031.898401,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1639607031.899983,,,,,,,,,,7154.000000,-3.771074
1639607031.900293,,,,,,,,,,7155.000000,-3.771074
1639607031.900368,7369.000000,942248.000000,1639607031.900368,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1639607031.901377,7370.000000,942249.000000,1639607031.901377,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1639607031.902409,7371.000000,942250.000000,1639607031.902409,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1639607031.902673,,,,,,,,,,7156.000000,-3.771074
1639607031.903243,,,,,,,,,,7157.000000,-3.771074
1639607031.903392,7372.000000,942251.000000,1639607031.903392,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1639607031.904374,,,,,,,,,,7158.000000,-3.771074
1639607031.904851,,,,,,,,,,7159.000000,-3.771074
1639607031.905365,7373.000000,942252.000000,1639607031.905365,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1639607031.905693,,,,,,,,,,7160.000000,-3.771074
1639607031.906384,7374.000000,942253.000000,1639607031.906384,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1639607031.907387,7375.000000,942254.000000,1639607031.907387,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1639607031.908448,,,,,,,,,,7161.000000,-3.771074
1639607031.908499,7376.000000,942255.000000,1639607031.908499,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1639607031.908962,,,,,,,,,,7162.000000,-3.771074
1639607031.909957,,,,,,,,,,7163.000000,-3.771074
1639607031.911398,7377.000000,942257.000000,1639607031.911398,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,,
1639607031.911574,,,,,,,,,,7164.000000,-3.771074
1639607031.912248,,,,,,,,,,7165.000000,-3.771074
1639607031.912390,7378.000000,942258.000000,1639607031.912390,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,,
1639607031.912795,,,,,,,,,,7166.000000,-3.771074
1639607031.913396,7379.000000,942259.000000,1639607031.913396,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,,
1639607031.914676,,,,,,,,,,7167.000000,-3.771074
1639607031.915389,7380.000000,942260.000000,1639607031.915389,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,,
1639607031.916382,7381.000000,942261.000000,1639607031.916382,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,,
1639607031.917067,,,,,,,,,,7168.000000,-3.771074
1639607031.917375,,,,,,,,,,7169.000000,-3.771074
1639607031.917396,7382.000000,942262.000000,1639607031.917396,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,,
1639607031.918123,,,,,,,,,,7170.000000,-3.771074
1639607031.918190,,,,,,,,,,7171.000000,-3.771074
1639607031.918394,7383.000000,942263.000000,1639607031.918394,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,,
1639607031.919701,,,,,,,,,,7172.000000,-3.771074
1639607031.920060,,,,,,,,,,7173.000000,-3.771074
1639607031.920394,7384.000000,942264.000000,1639607031.920394,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,,
1639607031.921388,7385.000000,942265.000000,1639607031.921388,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,,
1639607031.922271,,,,,,,,,,7174.000000,-3.771074
1639607031.922386,7386.000000,942266.000000,1639607031.922386,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,,
1639607031.922541,,,,,,,,,,7175.000000,-3.771074
1639607031.923385,7387.000000,942267.000000,1639607031.923385,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,,
1639607031.924623,,,,,,,,,,7176.000000,-3.771074
1639607031.925066,,,,,,,,,,7177.000000,-3.771074
1639607031.925131,,,,,,,,,,7178.000000,-3.771074
1639607031.925408,7388.000000,942268.000000,1639607031.925408,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,,
1639607031.926400,7389.000000,942269.000000,1639607031.926400,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,,
1639607031.927404,7390.000000,942270.000000,1639607031.927404,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,,
1639607031.927606,,,,,,,,,,7179.000000,-3.771074
1639607031.928393,7391.000000,942271.000000,1639607031.928393,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,,
1639607031.928511,,,,,,,,,,7180.000000,-3.771074
1639607031.928542,,,,,,,,,,7181.000000,-3.771074
1639607031.929975,,,,,,,,,,7182.000000,-3.771074
1639607031.930382,7392.000000,942272.000000,1639607031.930382,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,,
1639607031.930758,,,,,,,,,,7183.000000,-3.771074
1639607031.931380,7393.000000,942273.000000,1639607031.931380,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,,
1639607031.932383,7394.000000,942274.000000,1639607031.932383,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,,
1639607031.932912,,,,,,,,,,7184.000000,-3.771074
1639607031.932994,,,,,,,,,,7185.000000,-3.771074
1639607031.933356,7395.000000,942275.000000,1639607031.933356,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,,
1639607031.934377,,,,,,,,,,7186.000000,-3.771074
1639607031.934670,,,,,,,,,,7187.000000,-3.771074
