__time,/joint_states/header/seq,/joint_states/header/stamp,/joint_states/theta1/effort,/joint_states/theta1/position,/joint_states/theta1/velocity,/joint_states/theta2/effort,/joint_states/theta2/position,/joint_states/theta2/velocity,/theta2_controller/command/data
1642806136.723037,9667996.000000,1642806136.723037,0.000000,0.000000,0.000000,0.000000,-0.000767,0.000000,
1642806136.724014,9667997.000000,1642806136.724014,0.000000,0.000000,0.000000,0.002000,-0.000767,0.000000,
1642806136.727980,9668000.000000,1642806136.727980,0.000000,0.000000,0.000000,0.001000,-0.000767,0.000000,
1642806136.732030,9668003.000000,1642806136.732030,0.000000,0.000000,0.000000,0.000000,-0.000767,0.000000,
1642806136.733034,9668004.000000,1642806136.733034,0.000000,0.000000,0.000000,0.000000,-0.000767,0.000000,
1642806136.734024,9668005.000000,1642806136.734024,0.000000,0.000000,0.000000,0.001000,-0.000767,0.000000,
1642806136.735021,9668006.000000,1642806136.735021,0.000000,0.000000,0.000000,0.001000,-0.000767,0.000000,
1642806136.737018,9668007.000000,1642806136.737018,0.000000,0.000000,0.000000,0.000000,-0.000767,0.000000,
1642806136.737977,9668008.000000,1642806136.737977,0.000000,0.000000,0.000000,0.000000,-0.000767,0.000000,
1642806136.738998,9668009.000000,1642806136.738998,0.000000,0.000000,0.000000,0.001000,-0.000767,0.000000,
1642806136.740008,9668010.000000,1642806136.740008,0.000000,0.000000,0.000000,-0.002000,-0.000767,0.000000,
1642806136.742007,9668011.000000,1642806136.742007,0.000000,0.000000,0.000000,-0.002000,-0.000767,0.000000,
1642806136.743023,9668012.000000,1642806136.743023,0.000000,0.000000,0.000000,0.000000,-0.000767,0.000000,
1642806136.744005,9668013.000000,1642806136.744005,0.000000,0.000000,0.000000,-0.001000,-0.000767,0.000000,
1642806136.745037,9668014.000000,1642806136.745037,0.000000,0.000000,0.000000,-0.001000,-0.000767,0.000000,
1642806136.747000,9668015.000000,1642806136.747000,0.000000,0.000000,0.000000,0.000000,-0.000767,0.000000,
1642806136.748001,9668016.000000,1642806136.748001,0.000000,0.000000,0.000000,0.000000,-0.000767,0.000000,
1642806136.749003,9668017.000000,1642806136.749003,0.000000,0.000000,0.000000,0.000000,-0.000767,0.000000,
1642806136.750999,9668018.000000,1642806136.750999,0.000000,0.000000,0.000000,0.000000,-0.000767,0.000000,
