__time,/joint_states/header/seq,/joint_states/header/stamp,/joint_states/theta1/effort,/joint_states/theta1/position,/joint_states/theta1/velocity,/joint_states/theta2/effort,/joint_states/theta2/position,/joint_states/theta2/velocity,/theta2_controller/command/data
1645046970.839976,1774575.000000,1645046970.839976,0.000000,0.001534,0.000000,-0.007000,0.000383,0.000000,
1645046970.840966,1774576.000000,1645046970.840966,0.000000,0.001534,0.000000,-0.006000,0.000383,0.000000,
1645046970.841969,1774577.000000,1645046970.841969,0.000000,0.001534,0.000000,-0.006000,0.000383,0.000000,
1645046970.845305,,,,,,,,,-0.006111
1645046970.846478,,,,,,,,,-0.006111
1645046970.848637,,,,,,,,,-0.006111
1645046970.848644,1774578.000000,1645046970.848644,0.000000,0.001534,0.000000,-0.005000,0.000383,0.000000,
1645046970.849768,1774579.000000,1645046970.849768,0.000000,0.001534,0.000000,-0.005000,0.000383,0.000000,
1645046970.850754,1774580.000000,1645046970.850754,0.000000,0.001534,0.000000,-0.005000,0.000383,0.000000,
1645046970.851732,1774581.000000,1645046970.851732,0.000000,0.001534,0.000000,-0.006000,0.000383,0.000000,
1645046970.852746,1774582.000000,1645046970.852746,0.000000,0.001534,0.000000,-0.006000,0.000383,0.000000,
1645046970.853745,1774583.000000,1645046970.853745,0.000000,0.001534,0.000000,-0.004000,0.000383,0.000000,
1645046970.856753,1774586.000000,1645046970.856753,0.000000,0.001534,0.000000,-0.005000,0.000383,0.000000,
1645046970.857739,1774587.000000,1645046970.857739,0.000000,0.001534,0.000000,-0.005000,0.000383,0.000000,
1645046970.858784,1774588.000000,1645046970.858784,0.000000,0.001534,0.000000,-0.007000,0.000383,0.000000,
1645046970.860081,1774589.000000,1645046970.860081,0.000000,0.001534,0.000000,-0.007000,0.000383,0.000000,
1645046970.860743,1774590.000000,1645046970.860743,0.000000,0.001534,0.000000,-0.007000,0.000383,0.000000,
1645046970.861794,1774591.000000,1645046970.861794,0.000000,0.001534,0.000000,-0.007000,0.000383,0.000000,
1645046970.861912,,,,,,,,,-0.006111
1645046970.863190,,,,,,,,,-0.006111
1645046970.865733,1774592.000000,1645046970.865733,0.000000,0.001534,0.000000,-0.007000,0.000383,0.000000,
1645046970.866823,1774593.000000,1645046970.866823,0.000000,0.001534,0.000000,-0.007000,0.000383,0.000000,
1645046970.868115,1774594.000000,1645046970.868115,0.000000,0.001534,0.000000,-0.006000,0.000383,0.000000,
1645046970.868526,,,,,,,,,-0.006111
1645046970.868901,1774595.000000,1645046970.868901,0.000000,0.001534,0.000000,-0.006000,0.000383,0.000000,
1645046970.869771,1774596.000000,1645046970.869771,0.000000,0.001534,0.000000,-0.006000,0.000383,0.000000,
1645046970.870783,1774597.000000,1645046970.870783,0.000000,0.001534,0.000000,-0.006000,0.000383,0.000000,
1645046970.871787,1774598.000000,1645046970.871787,0.000000,0.001534,0.000000,-0.006000,0.000383,0.000000,
1645046970.871964,,,,,,,,,-0.006111
1645046970.872559,,,,,,,,,-0.006111
1645046970.872749,1774599.000000,1645046970.872749,0.000000,0.001534,0.000000,-0.007000,0.000383,0.000000,
