__time,/joint_states/header/seq,/joint_states/header/stamp,/joint_states/theta1/effort,/joint_states/theta1/position,/joint_states/theta1/velocity,/joint_states/theta2/effort,/joint_states/theta2/position,/joint_states/theta2/velocity,/theta2_controller/command/data
1645047949.567328,2557556.000000,1645047949.567328,0.000000,-0.092039,-0.733671,-0.261000,-0.853277,-0.104720,
1645047949.568365,2557557.000000,1645047949.568365,0.000000,-0.092039,-0.728869,-0.256000,-0.853660,-0.104720,
1645047949.569311,2557558.000000,1645047949.569311,0.000000,-0.093575,-0.720741,-0.251000,-0.854044,-0.104720,
1645047949.570304,2557559.000000,1645047949.570304,0.000000,-0.093575,-0.716803,-0.232000,-0.854427,-0.104720,
1645047949.571308,2557560.000000,1645047949.571308,0.000000,-0.095108,-0.713372,-0.232000,-0.854427,-0.104720,
1645047949.571465,,,,,,,,,-0.205100
1645047949.571996,,,,,,,,,-0.205100
1645047949.572310,2557561.000000,1645047949.572310,0.000000,-0.095108,-0.706803,-0.225000,-0.854811,-0.209440,
1645047949.572347,,,,,,,,,-0.205100
1645047949.572655,,,,,,,,,-0.205100
1645047949.573320,2557562.000000,1645047949.573320,0.000000,-0.096642,-0.703917,-0.220000,-0.855578,-0.209440,
1645047949.574065,,,,,,,,,-0.205100
1645047949.575166,2557563.000000,1645047949.575166,0.000000,-0.096642,-0.701160,-0.220000,-0.855578,-0.209440,
1645047949.575861,2557564.000000,1645047949.575861,0.000000,-0.096642,-0.695003,-0.218000,-0.855961,-0.209440,
1645047949.577330,2557565.000000,1645047949.577330,0.000000,-0.098175,-0.688819,-0.215000,-0.856728,-0.209440,
1645047949.577406,,,,,,,,,-0.161038
1645047949.577886,,,,,,,,,-0.161038
1645047949.578298,,,,,,,,,-0.161038
1645047949.578310,2557566.000000,1645047949.578310,0.000000,-0.098175,-0.685393,-0.215000,-0.856728,-0.209440,
1645047949.578684,,,,,,,,,-0.161038
1645047949.579316,2557567.000000,1645047949.579316,0.000000,-0.099710,-0.682235,-0.215000,-0.857112,-0.209440,
1645047949.580306,2557568.000000,1645047949.580306,0.000000,-0.099710,-0.675660,-0.215000,-0.857112,-0.209440,
1645047949.581445,,,,,,,,,-0.158815
1645047949.581854,,,,,,,,,-0.158815
1645047949.582210,,,,,,,,,-0.158815
1645047949.582316,2557569.000000,1645047949.582316,0.000000,-0.101244,-0.669518,-0.194000,-0.857879,-0.209440,
1645047949.583316,2557570.000000,1645047949.583316,0.000000,-0.101244,-0.666265,-0.194000,-0.857879,-0.209440,
1645047949.584305,2557571.000000,1645047949.584305,0.000000,-0.102777,-0.660550,-0.180000,-0.858262,-0.209440,
1645047949.584662,,,,,,,,,-0.155471
1645047949.585306,2557572.000000,1645047949.585306,0.000000,-0.102777,-0.657559,-0.174000,-0.858646,-0.209440,
1645047949.586483,,,,,,,,,-0.155471
1645047949.587304,2557573.000000,1645047949.587304,0.000000,-0.104311,-0.651040,-0.169000,-0.859029,-0.209440,
1645047949.588303,2557574.000000,1645047949.588303,0.000000,-0.104311,-0.644387,-0.169000,-0.859029,-0.209440,
1645047949.588587,,,,,,,,,-0.148644
1645047949.589145,,,,,,,,,-0.148644
1645047949.589309,2557575.000000,1645047949.589309,0.000000,-0.105846,-0.641248,-0.169000,-0.859413,-0.209440,
1645047949.590311,2557576.000000,1645047949.590311,0.000000,-0.105846,-0.638160,-0.169000,-0.859413,-0.209440,
1645047949.591479,,,,,,,,,-0.145786
1645047949.592322,2557577.000000,1645047949.592322,0.000000,-0.107380,-0.629260,-0.168000,-0.859796,-0.209440,
1645047949.592495,,,,,,,,,-0.145786
1645047949.593313,2557578.000000,1645047949.593313,0.000000,-0.107380,-0.626377,-0.158000,-0.860180,-0.209440,
1645047949.593871,,,,,,,,,-0.145786
1645047949.594335,2557579.000000,1645047949.594335,0.000000,-0.108913,-0.623931,-0.158000,-0.860180,-0.209440,
1645047949.595354,2557580.000000,1645047949.595354,0.000000,-0.108913,-0.621638,-0.158000,-0.860180,-0.209440,
1645047949.596834,,,,,,,,,-0.138659
1645047949.596991,,,,,,,,,-0.138659
1645047949.597277,2557581.000000,1645047949.597277,0.000000,-0.108913,-0.613408,-0.150000,-0.860180,-0.209440,
1645047949.597388,,,,,,,,,-0.138659
1645047949.598295,2557582.000000,1645047949.598295,0.000000,-0.110447,-0.610390,-0.145000,-0.860180,-0.209440,
1645047949.599063,,,,,,,,,-0.138659
1645047949.599316,2557583.000000,1645047949.599316,0.000000,-0.110447,-0.607282,-0.145000,-0.860180,-0.209440,
1645047949.600300,2557584.000000,1645047949.600300,0.000000,-0.111982,-0.600806,-0.146000,-0.860563,-0.209440,
1645047949.601899,,,,,,,,,-0.132080
1645047949.602086,,,,,,,,,-0.132080
1645047949.602245,,,,,,,,,-0.132080
1645047949.602305,2557585.000000,1645047949.602305,0.000000,-0.111982,-0.594612,-0.146000,-0.860563,-0.209440,
1645047949.603300,2557586.000000,1645047949.603300,0.000000,-0.111982,-0.591103,-0.146000,-0.860563,-0.209440,
1645047949.604236,,,,,,,,,-0.128819
1645047949.604300,2557587.000000,1645047949.604300,0.000000,-0.113516,-0.584670,-0.146000,-0.860563,-0.209440,
1645047949.605305,2557588.000000,1645047949.605305,0.000000,-0.113516,-0.581304,-0.143000,-0.860563,-0.104720,
1645047949.605924,,,,,,,,,-0.128819
1645047949.612310,2557593.000000,1645047949.612310,0.000000,-0.115049,-0.570783,-0.133000,-0.859796,-0.104720,
1645047949.613313,2557594.000000,1645047949.613313,0.000000,-0.116583,-0.541822,-0.130000,-0.859796,-0.104720,
1645047949.613405,,,,,,,,,-0.126428
1645047949.614311,2557595.000000,1645047949.614311,0.000000,-0.118118,-0.537467,-0.129000,-0.859796,-0.104720,
1645047949.614825,,,,,,,,,-0.157562
1645047949.615938,,,,,,,,,-0.157562
1645047949.616220,,,,,,,,,-0.157562
1645047949.616348,2557596.000000,1645047949.616348,0.000000,-0.118118,-0.528863,-0.129000,-0.859413,-0.104720,
1645047949.617394,2557597.000000,1645047949.617394,0.000000,-0.119652,-0.520095,-0.130000,-0.859029,-0.104720,
1645047949.618136,,,,,,,,,-0.157562
1645047949.618316,2557598.000000,1645047949.618316,0.000000,-0.119652,-0.516086,-0.130000,-0.859029,-0.104720,
1645047949.619311,2557599.000000,1645047949.619311,0.000000,-0.119652,-0.512065,-0.130000,-0.858646,-0.104720,
1645047949.620314,2557600.000000,1645047949.620314,0.000000,-0.121185,-0.505546,-0.130000,-0.858646,-0.104720,
1645047949.620750,,,,,,,,,-0.153978
1645047949.621247,,,,,,,,,-0.153978
1645047949.621472,,,,,,,,,-0.153978
1645047949.622324,2557601.000000,1645047949.622324,0.000000,-0.121185,-0.499555,-0.145000,-0.857879,0.000000,
1645047949.623155,,,,,,,,,-0.153978
1645047949.623308,2557602.000000,1645047949.623308,0.000000,-0.121185,-0.496308,-0.145000,-0.857879,0.000000,
1645047949.623686,,,,,,,,,-0.153978
1645047949.624309,2557603.000000,1645047949.624309,0.000000,-0.122719,-0.490814,-0.148000,-0.857495,0.000000,
1645047949.625278,2557604.000000,1645047949.625278,0.000000,-0.122719,-0.488151,-0.150000,-0.857112,0.000000,
1645047949.626714,,,,,,,,,-0.181576
1645047949.627039,,,,,,,,,-0.181576
1645047949.627306,2557605.000000,1645047949.627306,0.000000,-0.124254,-0.482925,-0.152000,-0.856728,0.000000,
1645047949.627728,,,,,,,,,-0.181576
1645047949.628307,2557606.000000,1645047949.628307,0.000000,-0.124254,-0.478608,-0.152000,-0.856728,0.000000,
1645047949.629302,2557607.000000,1645047949.629302,0.000000,-0.124254,-0.476308,-0.153000,-0.855961,0.000000,
1645047949.629663,,,,,,,,,-0.174469
1645047949.630311,2557608.000000,1645047949.630311,0.000000,-0.124254,-0.473714,-0.153000,-0.855578,0.000000,
1645047949.630370,,,,,,,,,-0.174469
1645047949.631919,,,,,,,,,-0.174469
1645047949.632259,,,,,,,,,-0.174469
1645047949.632306,2557609.000000,1645047949.632306,0.000000,-0.125788,-0.467189,-0.162000,-0.855194,0.000000,
1645047949.633299,2557610.000000,1645047949.633299,0.000000,-0.125788,-0.464820,-0.169000,-0.854811,0.104720,
1645047949.634305,2557611.000000,1645047949.634305,0.000000,-0.125788,-0.462114,-0.169000,-0.854811,0.104720,
1645047949.634775,,,,,,,,,-0.172042
1645047949.635263,,,,,,,,,-0.172042
1645047949.635642,2557612.000000,1645047949.635642,0.000000,-0.125788,-0.458962,-0.172000,-0.854044,0.104720,
1645047949.637064,,,,,,,,,-0.203268
1645047949.637337,2557613.000000,1645047949.637337,0.000000,-0.127321,-0.450173,-0.171000,-0.853660,0.104720,
1645047949.637424,,,,,,,,,-0.203268
1645047949.638299,2557614.000000,1645047949.638299,0.000000,-0.127321,-0.446942,-0.172000,-0.853277,0.104720,
1645047949.639044,,,,,,,,,-0.203268
1645047949.639306,2557615.000000,1645047949.639306,0.000000,-0.127321,-0.443356,-0.172000,-0.853277,0.104720,
1645047949.640303,2557616.000000,1645047949.640303,0.000000,-0.127321,-0.434785,-0.171000,-0.852893,0.104720,
1645047949.641501,,,,,,,,,-0.200669
1645047949.642326,2557617.000000,1645047949.642326,0.000000,-0.128855,-0.424720,-0.179000,-0.852510,0.104720,
1645047949.643065,,,,,,,,,-0.200669
1645047949.643310,2557618.000000,1645047949.643310,0.000000,-0.128855,-0.419782,-0.189000,-0.852126,0.104720,
1645047949.644052,,,,,,,,,-0.200669
1645047949.644385,2557619.000000,1645047949.644385,0.000000,-0.128855,-0.414742,-0.189000,-0.852126,0.104720,
1645047949.645298,2557620.000000,1645047949.645298,0.000000,-0.128855,-0.403982,-0.192000,-0.851743,0.104720,
1645047949.647362,2557621.000000,1645047949.647362,0.000000,-0.128855,-0.391857,-0.194000,-0.851359,0.104720,
