__time,/joint_states/_MSG_INDEX_,/joint_states/header/seq,/joint_states/header/stamp,/joint_states/theta1/effort,/joint_states/theta1/position,/joint_states/theta1/velocity,/joint_states/theta2/effort,/joint_states/theta2/position,/joint_states/theta2/velocity,/theta2_controller/command/_MSG_INDEX_,/theta2_controller/command/data
1645142824.431885,792109.000000,138684.000000,1645142824.431885,0.000000,0.000000,-0.000000,0.001000,-0.027228,0.000000,,
1645142824.431980,,,,,,,,,,565489.000000,-0.000024
1645142824.432812,792110.000000,138685.000000,1645142824.432812,0.000000,0.000000,-0.000000,0.001000,-0.027228,0.000000,,
1645142824.433470,,,,,,,,,,565490.000000,-0.000076
1645142824.433811,792111.000000,138686.000000,1645142824.433811,0.000000,0.000000,-0.000000,0.000000,-0.027228,0.000000,,
1645142824.434734,,,,,,,,,,565491.000000,-0.000060
1645142824.435555,,,,,,,,,,565492.000000,0.000197
1645142824.435803,792112.000000,138687.000000,1645142824.435803,0.000000,0.000000,-0.000000,-0.001000,-0.027228,0.000000,,
1645142824.436334,,,,,,,,,,565493.000000,0.000025
1645142824.436810,792113.000000,138688.000000,1645142824.436810,0.000000,0.000000,-0.000000,-0.001000,-0.027228,0.000000,,
1645142824.437816,792114.000000,138689.000000,1645142824.437816,0.000000,0.000000,-0.000000,-0.001000,-0.027228,0.000000,,
1645142824.437894,,,,,,,,,,565494.000000,-0.000726
1645142824.438850,792115.000000,138690.000000,1645142824.438850,0.000000,0.000000,-0.000000,-0.001000,-0.027228,0.000000,,
1645142824.439404,,,,,,,,,,565495.000000,-0.000146
1645142824.439922,792116.000000,138691.000000,1645142824.439922,0.000000,0.000000,-0.000000,0.001000,-0.027228,0.000000,,
1645142824.440572,,,,,,,,,,565496.000000,-0.000165
1645142824.441465,,,,,,,,,,565497.000000,0.000094
1645142824.441807,792117.000000,138692.000000,1645142824.441807,0.000000,0.000000,-0.000000,0.001000,-0.027228,0.000000,,
1645142824.442477,,,,,,,,,,565498.000000,0.000359
1645142824.442814,792118.000000,138693.000000,1645142824.442814,0.000000,0.000000,-0.000000,0.001000,-0.027228,0.000000,,
1645142824.443829,792119.000000,138694.000000,1645142824.443829,0.000000,0.000000,-0.000000,0.000000,-0.027228,0.000000,,
1645142824.443997,,,,,,,,,,565499.000000,0.000024
1645142824.444809,792120.000000,138695.000000,1645142824.444809,0.000000,0.000000,-0.000000,0.000000,-0.027228,0.000000,,
1645142824.445121,,,,,,,,,,565500.000000,-0.000113
1645142824.446612,,,,,,,,,,565501.000000,0.000026
1645142824.446818,792121.000000,138696.000000,1645142824.446818,0.000000,0.000000,-0.000000,0.000000,-0.027228,0.000000,,
1645142824.447778,,,,,,,,,,565502.000000,-0.000101
1645142824.447805,792122.000000,138697.000000,1645142824.447805,0.000000,0.000000,-0.000000,-0.001000,-0.027228,0.000000,,
1645142824.448814,792123.000000,138698.000000,1645142824.448814,0.000000,0.000000,-0.000000,-0.001000,-0.027228,0.000000,,
1645142824.449402,,,,,,,,,,565503.000000,-0.000008
1645142824.449802,792124.000000,138699.000000,1645142824.449802,0.000000,0.000000,-0.000000,-0.001000,-0.027228,0.000000,,
1645142824.449926,,,,,,,,,,565504.000000,-0.000156
1645142824.450102,,,,,,,,,,565505.000000,-0.000027
1645142824.451501,,,,,,,,,,565506.000000,0.000104
1645142824.451804,792125.000000,138700.000000,1645142824.451804,0.000000,0.000000,-0.000000,0.000000,-0.027228,0.000000,,
1645142824.459234,792126.000000,138702.000000,1645142824.459234,0.000000,0.000000,0.000000,-0.001000,-0.027228,0.000000,,
1645142824.460239,,,,,,,,,,565507.000000,0.000018
1645142824.460372,792127.000000,138703.000000,1645142824.460372,0.000000,0.000000,0.000000,-0.001000,-0.027228,0.000000,,
1645142824.461220,792128.000000,138704.000000,1645142824.461220,0.000000,0.000000,0.000000,0.001000,-0.027228,0.000000,,
1645142824.462261,792129.000000,138705.000000,1645142824.462261,0.000000,0.000000,0.000000,0.000000,-0.027228,0.000000,,
1645142824.463243,792130.000000,138706.000000,1645142824.463243,0.000000,0.000000,0.000000,0.000000,-0.027228,0.000000,,
1645142824.464245,792131.000000,138707.000000,1645142824.464245,0.000000,0.000000,0.000000,0.000000,-0.027228,0.000000,,
1645142824.464884,,,,,,,,,,565508.000000,-0.000549
1645142824.466290,792132.000000,138709.000000,1645142824.466290,0.000000,0.000000,0.000000,0.000000,-0.027228,0.000000,,
1645142824.466537,,,,,,,,,,565509.000000,-0.000051
1645142824.467065,,,,,,,,,,565510.000000,-0.000035
1645142824.467243,792133.000000,138710.000000,1645142824.467243,0.000000,0.000000,0.000000,0.000000,-0.027228,0.000000,,
1645142824.468068,,,,,,,,,,565511.000000,-0.000184
1645142824.468254,792134.000000,138711.000000,1645142824.468254,0.000000,0.000000,0.000000,-0.001000,-0.027228,0.000000,,
1645142824.469252,792135.000000,138712.000000,1645142824.469252,0.000000,0.000000,0.000000,-0.001000,-0.027228,0.000000,,
1645142824.469549,,,,,,,,,,565512.000000,0.000055
1645142824.470241,792136.000000,138713.000000,1645142824.470241,0.000000,0.000000,0.000000,-0.002000,-0.027228,0.000000,,
1645142824.471134,,,,,,,,,,565513.000000,0.000181
1645142824.471998,792137.000000,138714.000000,1645142824.471998,0.000000,0.000000,0.000000,0.001000,-0.027228,0.000000,,
1645142824.472224,,,,,,,,,,565514.000000,-0.000247
1645142824.472239,792138.000000,138715.000000,1645142824.472239,0.000000,0.000000,0.000000,0.001000,-0.027228,0.000000,,
1645142824.473238,792139.000000,138716.000000,1645142824.473238,0.000000,0.000000,0.000000,0.000000,-0.027228,0.000000,,
