__time,/joint_states/_MSG_INDEX_,/joint_states/header/seq,/joint_states/header/stamp,/joint_states/theta1/effort,/joint_states/theta1/position,/joint_states/theta1/velocity,/joint_states/theta2/effort,/joint_states/theta2/position,/joint_states/theta2/velocity,/theta2_controller/command/_MSG_INDEX_,/theta2_controller/command/data
1645142421.969398,,,,,,,,,,500324.000000,-2.218279
1645142421.969400,621681.000000,72865.000000,1645142421.969400,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,,
1645142421.970462,621682.000000,72866.000000,1645142421.970462,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,,
1645142421.971297,621683.000000,72867.000000,1645142421.971297,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,,
1645142421.971567,,,,,,,,,,500325.000000,-2.218279
1645142421.972236,621684.000000,72868.000000,1645142421.972236,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,,
1645142421.973236,621685.000000,72869.000000,1645142421.973236,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,,
1645142421.973751,,,,,,,,,,500326.000000,-2.218279
1645142421.974215,,,,,,,,,,500327.000000,-2.218279
1645142421.974253,621686.000000,72870.000000,1645142421.974253,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,,
1645142421.974912,,,,,,,,,,500328.000000,-2.218279
1645142421.975600,,,,,,,,,,500329.000000,-2.218279
1645142421.976236,621687.000000,72871.000000,1645142421.976236,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,,
1645142421.977244,621688.000000,72872.000000,1645142421.977244,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,,
1645142421.977807,,,,,,,,,,500330.000000,-2.218279
1645142421.978238,621689.000000,72873.000000,1645142421.978238,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,,
1645142421.978668,,,,,,,,,,500331.000000,-2.218279
1645142421.979221,,,,,,,,,,500332.000000,-2.218279
1645142421.980788,621690.000000,72874.000000,1645142421.980788,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,,
1645142421.982304,,,,,,,,,,500333.000000,-2.218279
1645142421.982572,621691.000000,72875.000000,1645142421.982572,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,,
1645142421.982653,,,,,,,,,,500334.000000,-2.218279
1645142421.983097,,,,,,,,,,500335.000000,-2.218279
