__time,/joint_states/header/seq,/joint_states/header/stamp,/joint_states/theta1/effort,/joint_states/theta1/position,/joint_states/theta1/velocity,/joint_states/theta2/effort,/joint_states/theta2/position,/joint_states/theta2/velocity,/theta2_controller/command/data
1645134204.186471,65110.000000,1645134204.186471,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1645134204.188477,65111.000000,1645134204.188477,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1645134204.189126,,,,,,,,,-2.218279
1645134204.189387,,,,,,,,,-2.218279
1645134204.189433,65112.000000,1645134204.189433,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1645134204.189820,,,,,,,,,-2.218279
1645134204.190470,65113.000000,1645134204.190470,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,
1645134204.191489,65114.000000,1645134204.191489,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,
1645134204.192595,,,,,,,,,-2.218279
1645134204.193132,,,,,,,,,-2.218279
1645134204.193684,65115.000000,1645134204.193684,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,
1645134204.193744,,,,,,,,,-2.218279
1645134204.194616,65116.000000,1645134204.194616,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,
1645134204.195383,,,,,,,,,-2.218279
1645134204.196565,65118.000000,1645134204.196565,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,
1645134204.198560,65119.000000,1645134204.198560,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,
1645134204.198876,,,,,,,,,-2.218279
1645134204.199142,,,,,,,,,-2.218279
1645134204.199483,65120.000000,1645134204.199483,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,
1645134204.200493,65121.000000,1645134204.200493,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,
1645134204.201481,65122.000000,1645134204.201481,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,
1645134204.201863,,,,,,,,,-2.218279
1645134204.202692,,,,,,,,,-2.218279
1645134204.203477,65123.000000,1645134204.203477,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,
1645134204.204304,,,,,,,,,-2.218279
1645134204.204475,65124.000000,1645134204.204475,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,
1645134204.205466,65125.000000,1645134204.205466,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,
1645134204.206472,65126.000000,1645134204.206472,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,
1645134204.208150,,,,,,,,,-2.218279
1645134204.208482,65127.000000,1645134204.208482,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,
1645134204.209484,,,,,,,,,-2.218279
1645134204.209502,65128.000000,1645134204.209502,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,
1645134204.210535,65129.000000,1645134204.210535,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,
1645134204.211024,,,,,,,,,-2.218279
1645134204.211516,65130.000000,1645134204.211516,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,
1645134204.213155,,,,,,,,,-2.218279
1645134204.213546,65131.000000,1645134204.213546,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,
1645134204.214511,65132.000000,1645134204.214511,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,
1645134204.215148,,,,,,,,,-2.218279
1645134204.215548,65133.000000,1645134204.215548,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,
1645134204.216490,65134.000000,1645134204.216490,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,
1645134204.218474,65135.000000,1645134204.218474,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,
1645134204.219484,65136.000000,1645134204.219484,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,
1645134204.220447,65137.000000,1645134204.220447,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,
1645134204.220665,,,,,,,,,-2.218279
1645134204.221466,65138.000000,1645134204.221466,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,
1645134204.222333,,,,,,,,,-2.218279
1645134204.223482,65139.000000,1645134204.223482,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,
1645134204.223808,,,,,,,,,-2.218279
1645134204.224479,65140.000000,1645134204.224479,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,
1645134204.225720,65141.000000,1645134204.225720,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,
1645134204.225905,,,,,,,,,-2.218279
1645134204.226473,65142.000000,1645134204.226473,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,
1645134204.226635,,,,,,,,,-2.218279
1645134204.227266,,,,,,,,,-2.218279
1645134204.228447,65143.000000,1645134204.228447,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,
1645134204.228698,,,,,,,,,-2.218279
1645134204.229517,65144.000000,1645134204.229517,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,
1645134204.230385,,,,,,,,,-2.218279
1645134204.230816,65145.000000,1645134204.230816,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,
1645134204.231631,65146.000000,1645134204.231631,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,
1645134204.231944,,,,,,,,,-2.218279
1645134204.233431,,,,,,,,,-2.218279
1645134204.233483,65147.000000,1645134204.233483,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,
1645134204.234532,65148.000000,1645134204.234532,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,
1645134204.235470,65149.000000,1645134204.235470,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,
1645134204.236635,65150.000000,1645134204.236635,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,
1645134204.237547,,,,,,,,,-2.218279
1645134204.238477,65151.000000,1645134204.238477,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,
1645134204.239473,65152.000000,1645134204.239473,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,
1645134204.240161,,,,,,,,,-2.218279
1645134204.240513,65153.000000,1645134204.240513,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,
1645134204.241429,,,,,,,,,-2.218279
1645134204.241494,65154.000000,1645134204.241494,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,
1645134204.241529,,,,,,,,,-2.218279
1645134204.241878,,,,,,,,,-2.218279
1645134204.243496,65155.000000,1645134204.243496,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,
1645134204.244495,,,,,,,,,-2.218279
1645134204.244497,65156.000000,1645134204.244497,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,
1645134204.244828,,,,,,,,,-2.218279
1645134204.245231,,,,,,,,,-2.218279
1645134204.245461,65157.000000,1645134204.245461,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,
1645134204.246458,65158.000000,1645134204.246458,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,
1645134204.247257,,,,,,,,,-2.218279
1645134204.248468,65159.000000,1645134204.248468,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,
1645134204.248707,,,,,,,,,-2.218279
1645134204.249293,,,,,,,,,-2.218279
1645134204.249465,65160.000000,1645134204.249465,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,
1645134204.250460,65161.000000,1645134204.250460,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,
1645134204.251156,,,,,,,,,-2.218279
1645134204.251492,,,,,,,,,-2.218279
1645134204.252007,65162.000000,1645134204.252007,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,
1645134204.253467,65163.000000,1645134204.253467,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,
1645134204.254421,65164.000000,1645134204.254421,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,
1645134204.254792,,,,,,,,,-2.218279
1645134204.254886,,,,,,,,,-2.218279
1645134204.255371,,,,,,,,,-2.218279
1645134204.255473,65165.000000,1645134204.255473,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,
1645134204.256481,65166.000000,1645134204.256481,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,
1645134204.257049,,,,,,,,,-2.218279
1645134204.258437,,,,,,,,,-2.218279
