__time,/joint_states/_MSG_INDEX_,/joint_states/header/seq,/joint_states/header/stamp,/joint_states/theta1/effort,/joint_states/theta1/position,/joint_states/theta1/velocity,/joint_states/theta2/effort,/joint_states/theta2/position,/joint_states/theta2/velocity,/theta2_controller/command/_MSG_INDEX_,/theta2_controller/command/data
1645645507.086481,9069.000000,189072.000000,1645645507.086481,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1645645507.087512,9070.000000,189073.000000,1645645507.087512,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1645645507.088228,,,,,,,,,,7502.000000,-1.109139
1645645507.088618,9071.000000,189074.000000,1645645507.088618,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1645645507.089505,,,,,,,,,,7503.000000,-1.109139
1645645507.089529,9072.000000,189075.000000,1645645507.089529,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1645645507.090528,,,,,,,,,,7504.000000,-1.109139
1645645507.090619,9073.000000,189076.000000,1645645507.090619,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1645645507.090635,,,,,,,,,,7505.000000,-1.109139
1645645507.091502,9074.000000,189077.000000,1645645507.091502,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1645645507.092482,9075.000000,189078.000000,1645645507.092482,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1645645507.093479,9076.000000,189079.000000,1645645507.093479,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1645645507.094522,9077.000000,189080.000000,1645645507.094522,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1645645507.095481,9078.000000,189081.000000,1645645507.095481,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1645645507.095824,,,,,,,,,,7506.000000,-1.109139
1645645507.096551,9079.000000,189082.000000,1645645507.096551,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1645645507.097183,,,,,,,,,,7507.000000,-1.109139
1645645507.097518,9080.000000,189083.000000,1645645507.097518,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1645645507.098558,,,,,,,,,,7508.000000,-1.109139
1645645507.098571,9081.000000,189084.000000,1645645507.098571,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1645645507.099356,,,,,,,,,,7509.000000,-1.109139
1645645507.100471,9082.000000,189085.000000,1645645507.100471,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1645645507.101468,9083.000000,189086.000000,1645645507.101468,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1645645507.101892,,,,,,,,,,7510.000000,-1.109139
1645645507.102483,9084.000000,189087.000000,1645645507.102483,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1645645507.103474,9085.000000,189088.000000,1645645507.103474,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1645645507.103572,,,,,,,,,,7511.000000,-1.109139
1645645507.104072,,,,,,,,,,7512.000000,-1.109139
1645645507.105757,,,,,,,,,,7513.000000,-1.109139
1645645507.107786,,,,,,,,,,7514.000000,-1.109139
1645645507.107856,,,,,,,,,,7515.000000,-1.109139
1645645507.109337,,,,,,,,,,7516.000000,-1.109139
1645645507.110467,9086.000000,189089.000000,1645645507.110467,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1645645507.110961,,,,,,,,,,7517.000000,-1.109139
1645645507.111480,9087.000000,189090.000000,1645645507.111480,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1645645507.112528,9088.000000,189091.000000,1645645507.112528,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1645645507.112640,,,,,,,,,,7518.000000,-1.109139
1645645507.113129,,,,,,,,,,7519.000000,-1.109139
1645645507.113511,9089.000000,189092.000000,1645645507.113511,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1645645507.114503,9090.000000,189093.000000,1645645507.114503,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1645645507.115431,9091.000000,189094.000000,1645645507.115431,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1645645507.116234,,,,,,,,,,7520.000000,-1.109139
1645645507.116481,9092.000000,189095.000000,1645645507.116481,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1645645507.116603,,,,,,,,,,7521.000000,-1.109139
1645645507.117473,9093.000000,189096.000000,1645645507.117473,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1645645507.117913,,,,,,,,,,7522.000000,-1.109139
1645645507.118485,9094.000000,189097.000000,1645645507.118485,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1645645507.119452,9095.000000,189098.000000,1645645507.119452,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1645645507.120561,9096.000000,189099.000000,1645645507.120561,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1645645507.121012,,,,,,,,,,7523.000000,-1.109139
1645645507.121477,9097.000000,189100.000000,1645645507.121477,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1645645507.121654,,,,,,,,,,7524.000000,-1.109139
1645645507.122474,9098.000000,189101.000000,1645645507.122474,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1645645507.124471,9099.000000,189103.000000,1645645507.124471,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1645645507.125281,,,,,,,,,,7525.000000,-1.109139
1645645507.125477,9100.000000,189104.000000,1645645507.125477,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1645645507.126477,9101.000000,189105.000000,1645645507.126477,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1645645507.126576,,,,,,,,,,7526.000000,-1.109139
1645645507.128534,9102.000000,189107.000000,1645645507.128534,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1645645507.129501,,,,,,,,,,7527.000000,-1.109139
1645645507.129590,,,,,,,,,,7528.000000,-1.109139
