__time,/joint_states/_MSG_INDEX_,/joint_states/header/seq,/joint_states/header/stamp,/joint_states/theta1/effort,/joint_states/theta1/position,/joint_states/theta1/velocity,/joint_states/theta2/effort,/joint_states/theta2/position,/joint_states/theta2/velocity
1645645730.383417,63255.000000,367708.000000,1645645730.383417,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1645645730.384435,63256.000000,367709.000000,1645645730.384435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1645645730.386413,63257.000000,367711.000000,1645645730.386413,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1645645730.387420,63258.000000,367712.000000,1645645730.387420,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1645645730.389421,63259.000000,367714.000000,1645645730.389421,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1645645730.390419,63260.000000,367715.000000,1645645730.390419,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
1645645730.392737,63261.000000,367716.000000,1645645730.392737,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
1645645730.395152,63262.000000,367717.000000,1645645730.395152,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
1645645730.396418,63263.000000,367718.000000,1645645730.396418,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
1645645730.397418,63264.000000,367719.000000,1645645730.397418,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
1645645730.398400,63265.000000,367720.000000,1645645730.398400,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
1645645730.399418,63266.000000,367721.000000,1645645730.399418,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
1645645730.400422,63267.000000,367722.000000,1645645730.400422,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
1645645730.401418,63268.000000,367723.000000,1645645730.401418,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
1645645730.402502,63269.000000,367724.000000,1645645730.402502,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
1645645730.404451,63270.000000,367725.000000,1645645730.404451,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
1645645730.405453,63271.000000,367726.000000,1645645730.405453,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
1645645730.406434,63272.000000,367727.000000,1645645730.406434,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
1645645730.408462,63273.000000,367729.000000,1645645730.408462,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
1645645730.409427,63274.000000,367730.000000,1645645730.409427,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
1645645730.410429,63275.000000,367731.000000,1645645730.410429,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
1645645730.412443,63276.000000,367733.000000,1645645730.412443,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
1645645730.413418,63277.000000,367734.000000,1645645730.413418,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
1645645730.414416,63278.000000,367735.000000,1645645730.414416,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
1645645730.415410,63279.000000,367736.000000,1645645730.415410,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
1645645730.416427,63280.000000,367737.000000,1645645730.416427,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
1645645730.417467,63281.000000,367738.000000,1645645730.417467,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
1645645730.418418,63282.000000,367739.000000,1645645730.418418,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1645645730.419411,63283.000000,367740.000000,1645645730.419411,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1645645730.420436,63284.000000,367741.000000,1645645730.420436,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1645645730.421422,63285.000000,367742.000000,1645645730.421422,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1645645730.422420,63286.000000,367743.000000,1645645730.422420,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1645645730.423527,63287.000000,367744.000000,1645645730.423527,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1645645730.426304,63288.000000,367745.000000,1645645730.426304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1645645730.427426,63289.000000,367746.000000,1645645730.427426,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1645645730.428463,63290.000000,367747.000000,1645645730.428463,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1645645730.429419,63291.000000,367748.000000,1645645730.429419,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1645645730.430434,63292.000000,367749.000000,1645645730.430434,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1645645730.431417,63293.000000,367750.000000,1645645730.431417,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1645645730.432441,63294.000000,367751.000000,1645645730.432441,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1645645730.433410,63295.000000,367752.000000,1645645730.433410,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1645645730.435430,63296.000000,367753.000000,1645645730.435430,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1645645730.436595,63297.000000,367754.000000,1645645730.436595,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1645645730.437431,63298.000000,367755.000000,1645645730.437431,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1645645730.438417,63299.000000,367756.000000,1645645730.438417,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
